uniprot_id,gene_symbol,protein_name,role_in_mechanism,organism,taxonomy_id,review_status,sequence_length,subcellular_location,source_url,retrieved_at
P13674,P4HA1,Prolyl 4-hydroxylase subunit alpha-1,Catalytic alpha subunit for collagen Proline 4-hydroxylation,Homo sapiens,9606,reviewed,534,Endoplasmic reticulum lumen,https://www.uniprot.org/uniprotkb/P13674/entry,2026-07-28
O15460,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,Catalytic alpha subunit for collagen Proline 4-hydroxylation,Homo sapiens,9606,reviewed,535,Endoplasmic reticulum lumen,https://www.uniprot.org/uniprotkb/O15460/entry,2026-07-28
Q7Z4N8,P4HA3,Prolyl 4-hydroxylase subunit alpha-3,Catalytic alpha subunit for collagen Proline 4-hydroxylation,Homo sapiens,9606,reviewed,544,Endoplasmic reticulum lumen,https://www.uniprot.org/uniprotkb/Q7Z4N8/entry,2026-07-28
P07237,P4HB,Protein disulfide-isomerase,Supporting beta subunit for collagen Prolyl 4-hydroxylase,Homo sapiens,9606,reviewed,508,Endoplasmic reticulum; Endoplasmic reticulum lumen; Melanosome; Cell membrane,https://www.uniprot.org/uniprotkb/P07237/entry,2026-07-28
Q02809,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Catalyzes collagen Lysine hydroxylation,Homo sapiens,9606,reviewed,727,Rough endoplasmic reticulum membrane,https://www.uniprot.org/uniprotkb/Q02809/entry,2026-07-28
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Catalyzes collagen Lysine hydroxylation,Homo sapiens,9606,reviewed,737,Rough endoplasmic reticulum membrane; Cytoplasm,https://www.uniprot.org/uniprotkb/O00469/entry,2026-07-28
O60568,PLOD3,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,Catalyzes collagen Lysine hydroxylation,Homo sapiens,9606,reviewed,738,"Rough endoplasmic reticulum; Endoplasmic reticulum lumen; Endoplasmic reticulum membrane; Secreted; Secreted, extracellular space",https://www.uniprot.org/uniprotkb/O60568/entry,2026-07-28
